team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Niagara 64,Loyola Maryland 55,05,"05 Parker,Aaliyah",*,31,7-13,1-3,2-3,0-5,5,3,1,1,1,2,17
Niagara 64,Loyola Maryland 55,11,"11 Parker,Angel",*,23,4-14,0-5,6-8,1-4,5,4,2,3,0,2,14
Niagara 64,Loyola Maryland 55,14,"14 Yelle,Maddy",*,31,5-11,1-4,1-2,0-1,1,3,3,5,0,2,12
Niagara 64,Loyola Maryland 55,21,"21 Porter,Lore",*,16,2-9,2-7,0-0,0-0,0,3,1,0,0,0,6
Niagara 64,Loyola Maryland 55,23,"23 Rutledge,Jade",*,24,2-3,0-0,0-0,1-2,3,4,0,3,3,3,4
Niagara 64,Loyola Maryland 55,30,"30 Faulcon,Sydney",,16,3-6,0-0,0-0,1-2,3,2,0,1,1,0,6
Niagara 64,Loyola Maryland 55,01,"01 Fiddler,Shelby",,14,1-3,1-3,0-0,0-1,1,1,3,0,0,0,3
Niagara 64,Loyola Maryland 55,04,"04 Hicks,Ary",,21,1-3,0-1,0-0,3-1,4,2,4,1,0,2,2
Niagara 64,Loyola Maryland 55,02,"02 Jones,Brooklyn",,14,0-1,0-0,0-0,1-2,3,2,1,2,0,1,0
Niagara 64,Loyola Maryland 55,20,"20 Dickerson,Marlie",,9,0-0,0-0,0-0,1-1,2,3,0,2,0,0,0
Niagara 64,Loyola Maryland 55,10,"10 Strong,Amelia",,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
Niagara 64,Loyola Maryland 55,TM,TM TEAM,,0,0-0,0-0,0-0,1-4,5,0,0,1,0,0,0
Loyola Maryland 55,Niagara 64,45,"45 Therien, Lex",*,35,5-12,0-0,6-7,3-17,20,1,1,7,2,2,16
Loyola Maryland 55,Niagara 64,10,"10 Sims, Koi",*,28,7-11,0-0,1-3,4-3,7,3,0,1,1,0,15
Loyola Maryland 55,Niagara 64,04,"04 Dixon, Taleah",*,28,2-9,1-3,2-4,0-4,4,1,2,2,0,2,7
Loyola Maryland 55,Niagara 64,22,"22 Rozzi, Bri",*,21,2-2,0-0,2-2,0-1,1,4,2,5,0,0,6
Loyola Maryland 55,Niagara 64,13,"13 Tañedo, Caramina",*,27,0-5,0-3,0-0,1-0,1,0,1,2,0,0,0
Loyola Maryland 55,Niagara 64,02,"02 Van-Otoo, Meliah",,20,3-6,0-1,0-2,1-1,2,3,2,5,0,0,6
Loyola Maryland 55,Niagara 64,01,"01 Ratigan, Kelly",,16,0-2,0-2,2-2,0-0,0,1,2,7,0,1,2
Loyola Maryland 55,Niagara 64,11,"11 Glezen, Emma",,15,1-1,0-0,0-0,0-0,0,2,1,1,1,0,2
Loyola Maryland 55,Niagara 64,35,"35 Therien, Ava",,2,0-0,0-0,1-2,0-0,0,1,0,0,0,0,1
Loyola Maryland 55,Niagara 64,12,"12 Garcia, Cristina",,8,0-2,0-1,0-0,0-0,0,1,1,2,0,0,0
Loyola Maryland 55,Niagara 64,TM,TM TEAM,,0,0-0,0-0,0-0,3-5,8,0,0,1,0,0,0
Loyola Maryland 50,Morgan State 59,45,"45 Therien, Lex",*,35,10-15,0-0,0-2,1-12,13,2,1,6,0,3,20
Loyola Maryland 50,Morgan State 59,04,"04 Dixon, Taleah",*,35,4-11,1-5,4-4,0-3,3,2,1,6,0,0,13
Loyola Maryland 50,Morgan State 59,10,"10 Sims, Koi",*,35,2-6,0-0,1-2,5-10,15,3,3,3,2,1,5
Loyola Maryland 50,Morgan State 59,02,"02 Van-Otoo, Meliah",*,25,1-4,0-1,1-2,0-2,2,4,4,4,0,1,3
Loyola Maryland 50,Morgan State 59,22,"22 Rozzi, Bri",*,10,0-2,0-0,0-0,0-2,2,1,0,2,0,0,0
Loyola Maryland 50,Morgan State 59,01,"01 Ratigan, Kelly",,19,2-5,2-4,0-0,1-0,1,0,1,1,0,0,6
Loyola Maryland 50,Morgan State 59,13,"13 Tañedo, Caramina",,23,1-3,1-3,0-0,0-2,2,1,0,2,0,0,3
Loyola Maryland 50,Morgan State 59,12,"12 Garcia, Cristina",,9,0-2,0-2,0-0,0-1,1,1,0,2,0,0,0
Loyola Maryland 50,Morgan State 59,11,"11 Glezen, Emma",,7,0-0,0-0,0-0,0-0,0,2,0,1,0,0,0
Loyola Maryland 50,Morgan State 59,35,"35 Therien, Ava",,2,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0
Loyola Maryland 50,Morgan State 59,TM,TM TEAM,,0,0-0,0-0,0-0,2-5,7,0,0,0,0,0,0
Morgan State 59,Loyola Maryland 50,03,"03 HENSON,Ja'Niah",*,35,8-15,4-8,2-2,1-3,4,1,4,2,0,3,22
Morgan State 59,Loyola Maryland 50,21,"21 SHEPHERD,Charlene",*,26,4-17,1-2,10-10,2-4,6,4,2,2,0,3,19
Morgan State 59,Loyola Maryland 50,02,"02 JOHNSON,Gabrielle",*,24,2-6,0-1,0-1,0-3,3,1,2,0,0,0,4
Morgan State 59,Loyola Maryland 50,23,"23 BLACK,Fatima",*,19,2-3,0-0,0-0,0-3,3,3,0,1,0,2,4
Morgan State 59,Loyola Maryland 50,30,"30 ADDISON,Taylor",*,30,0-5,0-2,0-0,1-1,2,1,1,1,0,2,0
Morgan State 59,Loyola Maryland 50,10,"10 JONES,Emily",,22,3-5,1-3,0-0,0-0,0,2,1,2,0,1,7
Morgan State 59,Loyola Maryland 50,24,"24 McCRAE,Sunshine",,17,1-3,0-0,1-2,1-2,3,1,0,0,0,1,3
Morgan State 59,Loyola Maryland 50,11,"11 ODUAH,Vanessa",,10,0-1,0-1,0-0,0-0,0,3,1,0,0,1,0
Morgan State 59,Loyola Maryland 50,22,"22 BUTLER,Jael",,9,0-3,0-0,0-0,0-1,1,2,0,1,0,1,0
Morgan State 59,Loyola Maryland 50,00,"00 JOHNSON,Shianne",,8,0-2,0-1,0-0,0-1,1,0,0,0,0,0,0
Morgan State 59,Loyola Maryland 50,TM,TM TEAM,,0,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0
UMBC 47,Loyola Maryland 61,23,"23 Dixon,Keelah",*,30,7-11,3-3,4-6,0-0,0,3,1,6,0,1,21
UMBC 47,Loyola Maryland 61,03,"03 McCalla,Ashia",*,40,5-13,2-6,1-2,0-5,5,3,2,1,0,3,13
UMBC 47,Loyola Maryland 61,01,"01 Bell,Kiara",*,30,2-8,0-0,1-1,2-7,9,2,1,5,2,1,5
UMBC 47,Loyola Maryland 61,11,"11 Smith,Shavonne",*,29,1-7,0-1,0-2,0-3,3,3,1,0,0,0,2
UMBC 47,Loyola Maryland 61,02,"02 Drake,Laycee",*,18,0-3,0-2,1-2,0-3,3,0,1,1,0,1,1
UMBC 47,Loyola Maryland 61,05,"05 Staples,Nia",,25,2-5,1-1,0-0,1-0,1,2,1,2,0,0,5
UMBC 47,Loyola Maryland 61,13,"13 Iradier,Paloma",,13,0-1,0-0,0-0,1-3,4,0,0,2,0,0,0
UMBC 47,Loyola Maryland 61,15,"15 Yanez,Carmen",,7,0-0,0-0,0-0,0-1,1,2,0,1,0,0,0
UMBC 47,Loyola Maryland 61,21,"21 May,Antonia",,5,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0
UMBC 47,Loyola Maryland 61,14,"14 Turkstra,Maryama",,3,0-0,0-0,0-0,0-0,0,2,0,1,0,0,0
UMBC 47,Loyola Maryland 61,TM,TM TEAM,,0,0-0,0-0,0-0,2-2,4,0,0,0,0,0,0
Loyola Maryland 61,UMBC 47,45,"45 Therien, Lex",*,38,7-14,0-0,3-5,2-9,11,3,1,3,0,2,17
Loyola Maryland 61,UMBC 47,04,"04 Dixon, Taleah",*,30,4-10,1-3,2-2,3-7,10,2,2,3,0,1,11
Loyola Maryland 61,UMBC 47,22,"22 Rozzi, Bri",*,38,3-7,1-3,3-4,0-4,4,1,3,3,0,0,10
Loyola Maryland 61,UMBC 47,10,"10 Sims, Koi",*,14,3-5,0-0,0-0,3-1,4,3,1,3,1,1,6
Loyola Maryland 61,UMBC 47,02,"02 Van-Otoo, Meliah",*,16,0-3,0-1,0-0,0-1,1,1,1,0,0,1,0
Loyola Maryland 61,UMBC 47,23,"23 Espinal, Marta",,12,3-3,1-1,0-0,0-0,0,3,1,0,1,0,7
Loyola Maryland 61,UMBC 47,13,"13 Tañedo, Caramina",,28,1-5,0-2,3-5,0-1,1,0,1,3,0,0,5
Loyola Maryland 61,UMBC 47,01,"01 Ratigan, Kelly",,14,1-4,1-4,0-0,0-2,2,1,0,0,0,1,3
Loyola Maryland 61,UMBC 47,11,"11 Glezen, Emma",,7,0-0,0-0,2-2,0-0,0,4,0,1,0,0,2
Loyola Maryland 61,UMBC 47,35,"35 Therien, Ava",,3,0-2,0-0,0-0,1-0,1,0,0,0,0,0,0
Loyola Maryland 61,UMBC 47,TM,TM TEAM,,0,0-0,0-0,0-0,1-2,3,0,0,0,0,0,0
Monmouth 59,Loyola Maryland 61,03,"03 Coleman,Anaya",*,31,4-5,3-3,2-2,0-4,4,4,5,5,1,2,13
Monmouth 59,Loyola Maryland 61,10,"10 Tinsley,Brianna",*,34,3-8,1-5,2-2,0-4,4,0,4,4,0,1,9
Monmouth 59,Loyola Maryland 61,24,"24 Kranbuhl,Belle",*,21,4-5,0-0,0-0,1-1,2,3,2,1,2,0,8
Monmouth 59,Loyola Maryland 61,04,"04 Donovan,Kaci",*,18,2-5,2-3,0-0,2-2,4,0,1,3,1,0,6
Monmouth 59,Loyola Maryland 61,11,"11 Marsicano,Elizabeth",*,16,0-3,0-2,0-0,0-0,0,4,2,2,0,1,0
Monmouth 59,Loyola Maryland 61,25,"25 Thomas,Lucy",,24,6-8,1-2,1-4,1-5,6,3,0,1,1,0,14
