Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT,FTM/A,PCT,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG,Link,Date
vs Niagara,11/07/22,55-64,L,20-50,.400,1-10,.100,14-22,.636,12,31,43,43.0,17,12,33,4,5,55,55.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15531,2022-23
at Morgan State,11/10/22,50-59,L,20-49,.408,4-15,.267,6-10,.600,9,37,46,44.5,16,11,27,2,5,50,52.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15532,2022-23
vs UMBC,11/13/22,61-47,W,22-53,.415,4-14,.286,13-18,.722,10,27,37,42.0,18,10,16,2,6,61,55.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15533,2022-23
vs Monmouth,11/16/22,61-59,W,21-57,.368,6-18,.333,13-18,.722,15,17,32,39.5,11,11,12,0,9,61,56.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15534,2022-23
at George Mason,11/19/22,58-66,L,21-51,.412,3-10,.300,13-15,.867,11,16,27,37.0,23,5,14,1,7,58,57.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15535,2022-23
at Bryant,11/21/22,69-64,W,22-55,.400,9-20,.450,16-25,.640,14,19,33,36.3,14,15,11,0,10,69,59.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15536,2022-23
vs Delaware St.,11/26/22,60-51,W,24-49,.490,6-12,.500,6-7,.857,9,18,27,35.0,22,11,21,2,10,60,59.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15537,2022-23
vs Toledo,11/30/22,40-62,L,15-46,.326,3-13,.231,7-11,.636,9,24,33,34.8,19,7,22,1,3,40,56.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15538,2022-23
at Mount St. Mary's,12/03/22,66-73,L,27-50,.540,7-13,.538,5-9,.556,9,21,30,34.2,14,17,23,1,4,66,57.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15539,2022-23
at Pittsburgh,12/07/22,42-78,L,10-56,.179,6-23,.261,16-22,.727,21,18,39,34.7,15,8,23,1,11,42,56.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15540,2022-23
vs Hofstra,12/10/22,62-61,W,19-61,.311,5-21,.238,19-27,.704,12,23,35,34.7,20,11,16,1,14,62,56.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15541,2022-23
at Colgate,12/30/22,61-56,W,25-52,.481,2-14,.143,9-12,.750,9,23,32,34.5,11,15,14,1,7,61,57.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15542,2022-23
vs American,01/02/23,37-52,L,16-52,.308,4-17,.235,1-4,.250,14,21,35,34.5,15,10,24,4,10,37,55.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15543,2022-23
at Army West Point,01/05/23,67-48,W,28-46,.609,4-7,.571,7-11,.636,7,26,33,34.4,12,15,17,1,3,67,56.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15544,2022-23
vs Holy Cross,01/08/23,46-53,L,20-53,.377,5-16,.313,1-3,.333,12,19,31,34.2,15,9,15,0,6,46,55.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15545,2022-23
vs Bucknell,01/11/23,50-56,L,22-59,.373,3-10,.300,3-4,.750,11,18,29,33.9,15,12,7,1,2,50,55.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15546,2022-23
at Navy,01/14/23,43-63,L,13-48,.271,2-9,.222,15-20,.750,5,20,25,33.4,21,5,16,0,6,43,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15547,2022-23
at Lehigh,01/18/23,65-72,L,25-71,.352,5-19,.263,10-14,.714,23,29,52,34.4,22,15,21,1,2,65,55.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15548,2022-23
vs Boston U.,01/21/23,57-65,L,23-56,.411,5-17,.294,6-10,.600,13,23,36,34.5,17,10,16,3,2,57,55.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15549,2022-23
vs Lafayette,01/25/23,35-39,L,13-46,.283,1-13,.077,8-14,.571,13,27,40,34.8,14,8,17,2,8,35,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15550,2022-23
at Bucknell,01/28/23,37-73,L,14-49,.286,2-11,.182,7-11,.636,11,16,27,34.4,18,7,20,2,4,37,53.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15551,2022-23
at Boston U.,02/04/23,57-100,L,24-67,.358,3-12,.250,6-7,.857,6,16,22,33.8,16,11,15,1,7,57,53.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15552,2022-23
vs Army West Point,02/08/23,68-83,L,23-56,.411,3-9,.333,19-23,.826,10,19,29,33.6,21,10,12,2,5,68,54.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15553,2022-23
vs Lehigh,02/11/23,59-67,L,20-58,.345,6-20,.300,13-21,.619,11,26,37,33.8,22,12,14,1,8,59,54.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15554,2022-23
at Lafayette,02/15/23,66-55,W,25-59,.424,5-18,.278,11-15,.733,13,27,40,34.0,14,20,10,0,5,66,54.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15555,2022-23
vs Navy,02/19/23,74-50,W,26-44,.591,3-10,.300,19-21,.905,4,30,34,34.0,13,10,20,0,8,74,55.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15556,2022-23
at Holy Cross,02/22/23,51-59,L,16-50,.320,3-14,.214,16-23,.696,11,23,34,34.0,17,8,14,0,8,51,55.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15557,2022-23
at American,02/25/23,59-67,L,20-50,.400,6-17,.353,13-18,.722,13,23,36,34.1,25,9,21,1,6,59,55.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15558,2022-23
