team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,date,time,site,team_score,opponent_score
Loyola Maryland,Niagara,45,"45 Therien, Lex",*,35,5-12,0-0,6-7,3-17,20,1,1,7,2,2,16,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,10,"10 Sims, Koi",*,28,7-11,0-0,1-3,4-3,7,3,0,1,1,0,15,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,04,"04 Dixon, Taleah",*,28,2-9,1-3,2-4,0-4,4,1,2,2,0,2,7,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,22,"22 Rozzi, Bri",*,21,2-2,0-0,2-2,0-1,1,4,2,5,0,0,6,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,13,"13 Tañedo, Caramina",*,27,0-5,0-3,0-0,1-0,1,0,1,2,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,02,"02 Van-Otoo, Meliah",,20,3-6,0-1,0-2,1-1,2,3,2,5,0,0,6,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,01,"01 Ratigan, Kelly",,16,0-2,0-2,2-2,0-0,0,1,2,7,0,1,2,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,11,"11 Glezen, Emma",,15,1-1,0-0,0-0,0-0,0,2,1,1,1,0,2,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,35,"35 Therien, Ava",,2,0-0,0-0,1-2,0-0,0,1,0,0,0,0,1,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,12,"12 Garcia, Cristina",,8,0-2,0-1,0-0,0-0,0,1,1,2,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,TM,TM TEAM,,0,0-0,0-0,0-0,3-5,8,0,0,1,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Morgan State,45,"45 Therien, Lex",*,35,10-15,0-0,0-2,1-12,13,2,1,6,0,3,20,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,04,"04 Dixon, Taleah",*,35,4-11,1-5,4-4,0-3,3,2,1,6,0,0,13,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,10,"10 Sims, Koi",*,35,2-6,0-0,1-2,5-10,15,3,3,3,2,1,5,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,02,"02 Van-Otoo, Meliah",*,25,1-4,0-1,1-2,0-2,2,4,4,4,0,1,3,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,22,"22 Rozzi, Bri",*,10,0-2,0-0,0-0,0-2,2,1,0,2,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,01,"01 Ratigan, Kelly",,19,2-5,2-4,0-0,1-0,1,0,1,1,0,0,6,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,13,"13 Tañedo, Caramina",,23,1-3,1-3,0-0,0-2,2,1,0,2,0,0,3,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,12,"12 Garcia, Cristina",,9,0-2,0-2,0-0,0-1,1,1,0,2,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,11,"11 Glezen, Emma",,7,0-0,0-0,0-0,0-0,0,2,0,1,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,35,"35 Therien, Ava",,2,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,TM,TM TEAM,,0,0-0,0-0,0-0,2-5,7,0,0,0,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,UMBC,45,"45 Therien, Lex",*,38,7-14,0-0,3-5,2-9,11,3,1,3,0,2,17,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,04,"04 Dixon, Taleah",*,30,4-10,1-3,2-2,3-7,10,2,2,3,0,1,11,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,22,"22 Rozzi, Bri",*,38,3-7,1-3,3-4,0-4,4,1,3,3,0,0,10,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,10,"10 Sims, Koi",*,14,3-5,0-0,0-0,3-1,4,3,1,3,1,1,6,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,02,"02 Van-Otoo, Meliah",*,16,0-3,0-1,0-0,0-1,1,1,1,0,0,1,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,23,"23 Espinal, Marta",,12,3-3,1-1,0-0,0-0,0,3,1,0,1,0,7,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,13,"13 Tañedo, Caramina",,28,1-5,0-2,3-5,0-1,1,0,1,3,0,0,5,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,01,"01 Ratigan, Kelly",,14,1-4,1-4,0-0,0-2,2,1,0,0,0,1,3,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,11,"11 Glezen, Emma",,7,0-0,0-0,2-2,0-0,0,4,0,1,0,0,2,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
